customer_id,age,gender,registration_date,purchase_frequency,avg_order_value,total_spending,last_purchase_date,product_category,num_orders,customer_lifetime_days
CUST_00001,24.0,Other,2025-02-01,45,328.1123550698774,9763.185674106078,2028-04-25,Clothing,140.0,198
CUST_00002,45.0,Male,2027-03-25,45,539.4343210260514,91.76974892005381,2028-02-22,Beauty,21.0,955
CUST_00003,25.0,Other,2025-12-26,18,382.4475427608159,3716.6273376371178,2025-11-23,Home,72.0,512
CUST_00004,55.0,Other,2025-10-12,21,164.5719625755074,9044.465023231218,2026-02-01,Beauty,66.0,570
CUST_00005,74.0,Female,2027-03-11,10,28.846476226795687,6506.907976405485,2026-09-01,Home,84.0,313
CUST_00006,74.0,Other,2027-04-21,36,648.3844290300711,9015.458073672922,2028-03-23,Sports,65.0,1271
CUST_00007,68.0,Male,2025-07-28,34,320.59454335793214,768.975200499206,2026-03-15,Electronics,20.0,109
CUST_00008,19.0,Other,2025-09-18,7,286.65724644366276,11657.54668201218,2025-04-13,Clothing,90.0,134
CUST_00009,30.0,Female,2025-05-22,26,271.498692771509,9367.698853381162,2028-03-15,Sports,40.0,232
CUST_00010,25.0,Male,2026-10-08,43,52.58839484688412,2894.774891444531,2025-02-15,Home,112.0,877
CUST_00011,68.0,Female,2026-06-18,29,917.3322468955997,13346.717032001445,2027-11-07,Clothing,37.0,519
CUST_00012,37.0,Other,2027-04-28,14,85.81739867469977,3620.778098648238,2028-11-12,Beauty,83.0,1073
CUST_00013,49.0,Other,2027-04-12,42,34.45000737746018,7940.009721965621,2026-02-27,Sports,47.0,440
CUST_00014,28.0,,2028-02-06,43,654.8136931690076,3380.335112442949,2026-05-31,Beauty,120.0,492
CUST_00015,73.0,Other,2027-06-02,32,123.38239847489677,6603.618944160434,2026-11-07,Sports,57.0,1274
CUST_00016,37.0,Female,2026-06-03,41,361.1743496934331,6228.747477831683,2025-12-22,Beauty,106.0,1023
CUST_00017,45.0,Other,2025-12-14,40,930.8211165698997,1143.3204424961557,2025-04-12,Sports,32.0,742
CUST_00018,27.0,Female,2028-06-27,8,650.1219713939545,10254.462780730262,2028-05-26,Home,39.0,575
CUST_00019,50.0,Female,2027-10-02,3,755.423984477715,7882.380693435862,2028-06-19,Beauty,9.0,114
CUST_00020,67.0,Other,2028-01-31,11,872.8988236753498,10386.847850863993,2025-11-10,Home,86.0,509
CUST_00021,71.0,Male,2027-08-04,21,237.67227647226736,5071.680768523918,2027-04-26,Sports,133.0,401
CUST_00022,27.0,Male,2025-08-11,10,760.7591618877493,13534.52945986707,2027-12-10,Beauty,35.0,362
CUST_00023,26.0,Female,2025-11-07,34,529.904145818782,12923.317956979401,2027-02-11,Clothing,79.0,1019
CUST_00024,70.0,Female,2028-02-19,6,267.0325674305959,2626.6021596066753,2027-09-17,Sports,115.0,900
CUST_00025,48.0,Other,2027-03-05,32,437.2807882060628,450.27492890187176,2027-05-23,Electronics,115.0,694
CUST_00026,33.0,Female,2027-07-02,35,451.1177145757383,14132.620429651723,2028-08-02,Home,137.0,658
CUST_00027,32.0,Female,2028-09-24,37,961.7259093537455,7343.095242348352,2028-06-14,Clothing,93.0,1278
CUST_00028,46.0,Other,2025-04-01,42,5387.731481932084,2684.0022102911635,2025-07-23,Sports,146.0,602
CUST_00029,70.0,Other,2026-10-24,23,916.0643019576833,8601.5476228092,2027-06-24,Electronics,111.0,172
CUST_00030,58.0,Male,2026-02-04,48,947.1214690913888,13140.586172509698,2027-06-10,Beauty,25.0,1264
CUST_00031,28.0,Female,2026-08-18,30,716.1541796042638,13259.51085916695,2028-11-28,Electronics,143.0,290
CUST_00032,40.0,Male,2025-06-07,16,268.35141050760114,10615.10841052411,2027-11-29,Beauty,74.0,1257
CUST_00033,21.0,Female,2025-07-01,34,780.7003862092092,8975.166617523686,2027-07-18,Sports,96.0,999
CUST_00034,45.0,Female,2026-05-17,37,768.92926662068,620.808180390684,2028-04-21,Clothing,125.0,1204
CUST_00035,53.0,Other,2025-10-08,15,964.1290235802261,1562.5958044127751,2026-05-23,Home,40.0,384
CUST_00036,25.0,Male,2028-07-19,33,858.773256055549,13872.874482311132,2026-12-07,Home,128.0,436
CUST_00037,73.0,Other,2027-03-29,24,650.134368468969,4508.360487240435,2026-01-31,Electronics,33.0,166
CUST_00038,67.0,Female,2026-06-29,10,795.6330230594452,14681.762789267561,2027-09-13,Clothing,87.0,1393
CUST_00039,37.0,Other,2026-01-12,15,395.4446030814468,2039.0725155058494,2025-06-23,Sports,72.0,1226
CUST_00040,46.0,Other,2025-10-14,47,961.9389980769508,12123.550222593503,2025-11-01,Electronics,121.0,1260
CUST_00041,31.0,Male,2027-07-02,39,67.21768633384751,2952.800529434341,2027-07-31,Beauty,41.0,1161
CUST_00042,55.0,Female,2027-04-07,23,724.7275386518045,782.0313287352316,2027-12-05,Sports,68.0,327
CUST_00043,36.0,Other,2027-06-16,13,101.60170152650683,11786.097358620274,2028-03-13,Clothing,114.0,591
CUST_00044,68.0,Male,2027-02-15,31,552.7247915974281,11091.315528947973,2027-09-16,Home,94.0,787
CUST_00045,33.0,Male,2027-03-03,37,529.5269315238162,4598.02695097259,2026-09-27,Home,26.0,373
CUST_00046,21.0,Female,2028-01-03,25,133.49073482268864,8882.032798790635,2027-04-26,Home,86.0,625
CUST_00047,48.0,Female,2027-08-04,-21,873.5435021051763,3510.480645076988,2027-11-12,Home,126.0,1067
CUST_00048,62.0,Other,2026-01-19,43,732.4918337505833,4833.459396570468,2027-11-02,Beauty,91.0,1196
CUST_00049,64.0,Female,2028-01-20,45,968.8507830893197,9442.509421360028,2027-05-02,Sports,135.0,48
CUST_00050,41.0,Male,2028-02-11,2,981.4929144965578,6308.8858029105,2025-01-21,Beauty,112.0,18
CUST_00051,61.0,Other,2028-08-29,23,69.3638743154968,12272.088976098783,2028-03-24,Clothing,55.0,257
CUST_00052,53.0,Male,2026-08-17,21,120.8078560450821,6968.136313637994,2025-09-04,Beauty,13.0,1317
CUST_00053,60.0,Female,2028-06-29,33,653.3822213707417,14906.659914811105,2026-06-07,Beauty,11.0,756
CUST_00054,52.0,Other,2027-11-17,29,802.6136138230277,6453.834782133429,2027-02-10,Clothing,84.0,1219
CUST_00055,49.0,Female,2026-12-27,16,47595.01541105323,14345.806689207137,2028-11-24,Electronics,119.0,1261
CUST_00056,36.0,Other,2028-07-11,1,567.6674703833676,6072.120612717273,2027-10-06,Beauty,40.0,93
CUST_00057,62.0,Male,2027-02-13,15,682.3430774690357,10469.539235613272,2027-05-19,Clothing,54.0,239
CUST_00058,23.0,Male,2028-07-17,15,144.9708783370773,356.8350153180368,2028-01-16,Home,56.0,993
CUST_00059,34.0,Female,2025-09-12,41,817.8231865213561,2811.6820147283374,,Clothing,114.0,917
CUST_00060,19.0,Male,2025-05-15,6,481.3603056035274,13440.12143220159,2027-02-13,Sports,49.0,122
CUST_00061,25.0,Other,2025-03-10,39,348.1366253346413,4001.0852982784695,2026-02-20,Clothing,122.0,429
CUST_00062,46.0,Male,2025-04-24,42,188.64216365471967,7804.363554769099,2025-08-10,Home,97.0,22
CUST_00063,59.0,Male,2025-01-29,2,117.61578842542771,1228.8362258956374,2027-11-17,Sports,7.0,1177
CUST_00064,53.0,Female,2027-09-12,5,86.04308036135217,287.95776586686833,2028-06-05,Home,109.0,776
CUST_00065,49.0,Male,2027-01-24,11,998.9176148055112,12681.677409347441,2025-09-24,Clothing,100.0,155
CUST_00066,61.0,Male,2026-10-14,1,217.93671162863336,7824.167882707435,2027-11-21,Sports,44.0,454
CUST_00067,42.0,Male,2026-07-30,7,732.086490421076,7518.891149321432,2025-06-03,Electronics,42.0,741
CUST_00068,65.0,Female,2026-02-07,28,264.04201030555015,1117.0295351859588,2025-10-30,Beauty,149.0,533
CUST_00069,47.0,Other,2028-02-01,17,401.142432116653,5270.4418699892485,2027-06-29,Clothing,124.0,973
CUST_00070,71.0,Other,2025-10-04,49,196.55270701844483,10228.53607433447,2026-05-10,Electronics,86.0,139
CUST_00071,64.0,Other,2025-04-13,6,297.3111574810913,8332.370834824733,2026-03-20,Beauty,42.0,190
CUST_00072,43.0,Female,2027-11-05,24,983.2503792612276,14375.599239378129,2025-02-27,Clothing,143.0,619
CUST_00073,37.0,Male,2027-02-15,27,233.92584660073246,12757.928569007438,2025-09-11,Sports,118.0,1229
CUST_00074,52.0,Male,2026-03-16,7,144.60987195625373,8275.572450250707,2026-05-07,Sports,64.0,1026
CUST_00075,24.0,Male,2027-07-26,4,477.0203963634669,5320.434079441574,2027-05-30,Sports,71.0,291
CUST_00076,37.0,Other,2026-03-05,9,722.9720050940288,11109.325909360314,2028-11-14,Beauty,3.0,422
CUST_00077,39.0,Other,2025-01-21,28,725.9982571850719,3285.1563898278177,2025-08-13,Beauty,101.0,292
CUST_00078,54.0,Female,2025-12-03,27,540.9633255270074,1272.0883428862542,2027-10-03,Clothing,44.0,94
CUST_00079,55.0,Male,2025-12-11,3,645.4731635844063,14639.897728544056,2025-04-17,Clothing,44.0,310
CUST_00080,55.0,Other,2025-01-16,29,580.6832830659464,6093.33617689694,2025-07-11,Sports,122.0,417
CUST_00081,62.0,Other,2028-07-22,41,220.62140508270653,9011.480114999104,2026-11-13,Home,77.0,507
CUST_00082,28.0,Female,2027-10-31,46,522.8619015443729,12888.580807583441,2028-04-14,Home,22.0,978
CUST_00083,42.0,Female,2025-05-18,38,410.552919121829,11026.438110576088,2028-08-19,Home,142.0,220
CUST_00084,18.0,Other,2025-01-01,6,72.2069402412956,353.2449864643961,2028-02-15,Electronics,136.0,694
CUST_00085,19.0,Other,2028-07-20,35,737.7018381592663,5641.824194807929,2027-04-02,Electronics,45.0,703
